"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
584,"해피라이프에 제안 접수 후 처리 결과 미흡(4건), 전주시의 느린 행정 처리 개선 제안","전주한옥마을연계한관광콘텐츠제안(포토존 조성 및 기찻길 형성화한 숲 조성)","2017-04-11",,,"기획예산과","처리완료","부안읍"
585,"꼭 답변 부탁 드립니다.","다송교차로 일대 농업기술센터 진입로, 박전마을 입구 및 구도로 진입로 간의 정비가 제대로 이루어지지 않아 차량들의 진출입에 있어 혼잡이 있어 불편함을 일전에도 언급한 적이 있으나 아직까지도 제대로 된 교통신호 체계 등이 확립되지 않아 진출입 차량의 주의가 필요하며 여전히 농업기술센터에서 나오는 출구차량과 마을 및 상가로 진입하려는 차량 사이에 빈번한 혼잡이 있고 사고 위험도 존재하니 합리적인 조치를 요청합니다. ","2018-05-03","2018-05-03","2018-05-08","기초생활과","처리완료","부안읍"
586,"불법주정차들이 너무심한곳","영등도서관을 주로 이용하는 편이다.도서관의 첫인상은 그다지 깔금하다는 느낌이 없었다.그래도 접근성 때문에 영등 도서관을 이용할 수 밖에 없는데 시민으로서 시정사항을 건의 해본다.나의 눈살을 찌푸리게 만든 것은 정수기의 위생 상태였다.책을 보다가 갈증이 나서 물을 먹으려는데 정수기 주변이 더러웠다.게다가 물맛도 냄새가 심하여 정기적으로 소독을 하는지 의심스러운 마음까지 들었다.처음에만 그려려니 하여 지나쳤는데,  몇 칠 지나서 도서관을 이용할 기회가 있어 물을 먹는데 역시 물맛이 썩은 맛이었다.대부분 공부하는 핵생들은 자기 공부하기도 바쁘고 자판기 음료를 마시면 되니까물맛에 그다지 신경을 쓰지 않아도 될지 모르겠지만음료를 좋아하지 않고 물을 먹어야하는 또  장기적으로 도서관이용하려는 시민입장에서여러사람이 마시는 물에서 냄새가 나고 그 냄새의 원인이  세균문제라면...그로인해 건강에 위협을 가하지 않을까 염려되는 바이다.요즘 뉴스에 콜레라가 다시 발생하여 건강에 예민해 있는 시민으로서영등도서관의 정수기를 자주 점검하여 안심하고 마실 수 있는 물을 제공해 주길 바라는 마음에서꼭 시정해 주길 바란다.  ","2016-08-30","2016-08-30","2016-09-02","교통행정과","처리완료","부안읍"
587,"관광도시 군산을 위한...","관광도시 군산이란 이름을 무색케 만드는 노후화된 고속,시외버스터미널!도착 후 어디로 발걸음을 옮겨야할지 고민케 만드는 군산역!!우연히 인터넷을 통해 군산지도를 보게되었습니다.중요 관광지인 철길마을, 근대박물관(구 도심) 등이 폐 철길 인근에 위치해 있더군요.군산 도착후 깜짝 놀랄만한 터미널 상태를 보고, 근대 문화 도시의 상징적 교통수단인 트램(근대시절 전차형태)을 통해 주요 관광지인 철길마을, 근대박물관(구 도심)과 연계한 교통망(관광시설)을 만드는 건 어떨까요?이해 관계가 얽혀, 당장은 힘들겠지만,,, 있는 인프라를 잘 활용하면 여러모로 관광도시에 걸맞는 또하나의 볼거리가 만들어지지 않을까 싶습니다. ^^","2016-09-12","2016-09-12","2016-09-20","관광진흥과","처리완료","동진면"
588,"익산시 유기견보호소","제발 긴말 필요없다봅니다인터넷만검색할줄아는사람이면바로나옵니다눈뜬장님아니시면당장조치부탁드립니다언제죽은지도모르는강아지시체에파리가붙여있는사진도사용하는군요.너무나도화가납니다","2016-11-08","2016-11-08","2016-11-10","축산과","처리완료","부안읍"
589,"[생활불편신고]기타생활불편","전라북도 부안군 변산면 도청리 169-3모항해수욕장에 통나무가 굴러 다녀요 치워야 겠어요","2017-10-07",,"2017-10-14","건설교통과","처리완료","하서면"
590,"불친절관련 및 공무원 자세","다중이용시설물 긴급 특별 안전점검 등을 통한 지역안전도 제고방안","2016-08-30","2016-08-30","2016-09-19","자치행정과","처리완료","부안읍"
591,"자동차 불법 등화류 장착 및 번호판 훼손 신고의 건","전라북도 부안군 백산면 평교리 466-4반사경 넘어짐","2016-10-22",,"2016-10-26","건설교통과","처리완료","상서면"
592,"(안전보안관)(SPP-1806-2500383)내일부터 장만데 하수구 정비좀해주세요 * 첨부파일촬영","부안군에서 일하는 야간근무노동자입니다.힘든 근무가 끝나고 같이 일하는 직원들과 취미로 야간에 족구를 하는데매창공원 족구장은 소등시간이 항상 새벽1시라서 저희가 족구를 하는도중 꺼져서매우 아쉽습니다. 부안군에는 낮에 일하는사람들 말고 야간에 근무하는 사람도 있는데 조금 아쉽습니다.이 글의 요지는 군민들의 체육진흥을 위해 소등시간을 새벽2시까지 한시간 연장을 해주셨으면 합니다. 안된다면 30분이라도요김종규 군수님 진정으로 군민들을 생각하신다면 꼭 좀 부탁드립니다.결과는 전화로 연락 주세요 010 4995 3279","2018-06-25",,"2018-06-26","민원소통과","처리완료","만성동로"
593,"황등 보삼말 공원 체조를 진행 해주세요","모현동 동서로  익산시 노인 종합 복지관 입구 부근인도에 불법으로 설치되어 있는 불법광고물을 신고합니다.","2016-04-07","2016-04-07",,,"처리완료","부안읍"
594,"(SPP-1703-2600268)중앙분리대 파손","전라북도 부안군 부안읍 봉덕리 574-157인도 노면이 고르지못함","2017-03-26",,"2017-03-31","건설교통과","처리완료","부안읍"
595,"군산시에서 운영하는 공영자전거 문제입니다.","모현동 고현로  모현주공2단지 후문  근처횡단보도 앞  인도에  불법노점상을신고합니다.","2017-03-27","2017-03-27","2017-03-30","건설과","처리완료","하서면"
596,"노인돌봄서비스신청","시정에수고하시는 사장님께감사드립니다어제 우연히 세계문화유산이라는 금마의 미륵사지앞 지방도변에 갔습니다그런대 관광객을 유치한다는 세계문화유산문화제 앞도로에 저녁8시 인데도가로등하나없는 암흑천지에깜짝놀랐습니다부탁드립니다밤새가로등은 밝힐수는 없드래도 11시까지는 불을 밝혀주시기바랍니다그래도 세계문화유산인데 말입니다","2017-02-13","2017-02-13","2017-02-16","경로장애인과","처리완료","부안읍"
597,"(SPP-1802-0800540)가로등이 고장났어요 * 첨부파일촬영시간 안내(안전신","- 부안군립농악단 신규단원 추가 선발 시험의 의혹 - 채용 비리, 멀지 않은 곳에도 있다. 지난 2018년 2월 5일 오후 2시에 부안군립농악단 신규단원 추가 선발 시험의 실기 평가와 면접이 부안군무형문화재 전수회관에서 시행되었다. 2년 전 선발된 농악단원 중 결원이 생겨 이를 보충하기 위한 선발이었고, 그동안 군립농악단에 없었던 고깔소고 부문을 뽑아 더욱 다양한 공연이 가능하게끔 하는 취지로 5명을 선발하는 과정이었다. 서류 전형에 합격하여 본심에 오","2018-02-08",,"2018-02-14","부안읍","처리완료","부안읍"
598,"익산시청 구성원들은 익산시민을 뻘로 보지마라!","안녕하십니까`익산 하수슬러지자원화시설 설치사업`에 대하여 질문을 드리고자 합니다 [ 배경설명 ]1. 제가 익산시 홈페이지 시민의소리(시정에바란다)에 2016년9월12일 `익산 하수슬러지자원화시설 설치사업은 어떻게 되는 것입니까?`란 제목으로 질의를 하였습니다.2. 2016년9월13일 답변의 글을 받았습니다3. 익산시에서는   """"""""익산시 하수슬러지 자원화시설 설치사업 계약해지로 하수슬러지 정책에 대한 전면 재검토가 필요하며 최적 대안 마련에 최선을 다하고 있으며, 정책 결정후에 관련부처와 국고보조금 반납 시기, 방법 등 세부적인 사항을 협의할 예정입니다."""""""" 라고 답변을 하였습니다.4. 환경부(새만금지방환경청 포함)에서는 2016년8월22일 익산시에서 최종적으로 상기 사업에 대한 국고보조금 반납계획을 익산시로부터 제출 받았다고 했습니다 [ 질문사항 ]1. 익산시에서는 2016년8월22일 환경부(새만금지방환경청 포함)에 최종적으로 상기 사업에 대한 국고보조금 반납계획을 제출 했는데도, 제가 2016년9월12일 익산시에 질의를 한결과 2016년9월13일 답변 내용과는 차이가 많습니다.즉, 익산시에서는 2016년9월13일 현재 대책마련을 한다고 하고선 환경부(새만금지방환경청 포함)에는 국고보조금 반납계획을 2016년8월22일 제출했습니다.익산시 답변은 무엇에 대한 답변입니까?2. 국고보조금 반납계획서는 제출했놓고선, 시민에게는 아직도 대책마련한다고 하는 경우가 어디에 있습니까?3. 시민에게 제대로 답변을 주어야 하는것 아닙니까?4. 왜?   환경부(새만금지방환경청 포함)에는 8월22일 국고보조금 반납계획에 대한 문서를 제출하였으면서   9월13일 답변에는 아직도 대책마련을 하고 있다고 했는지요? [ 익산 하수슬러지자원화시설 설치사업에 있어서 익산시가 부담하여야 하는 부분 ]1. 국고보조금 반납2. 공사중지 및 계약해지에 따른 손해배상비3. 기존 설치했던 시설의 무용화에 따른 손해4. 기존 설치했던 시설 철거비 및 폐기물처리비5. 다른 방식으로 하수슬러지자원화시설을 새로이 한다면 용역비6. 익산 하수슬러지자원화시설 미준공에 다른 슬러지 위탁처리에 따른 고비용 처리비 [ 첨부자료 ]1. 익산시에 했던 질의 및 답변 자료2. 환경부에 했던 질의 및 답변자료 [ 개인적인 생각 ](본 항목은 을 요하는 내용이 아닙니다)1. 익산 하수슬러지자원시설 설치사업 국고보조금 반납시 보도자료를 배포하면 어떨까요? 감사합니다","2016-09-21","2016-09-21","2016-10-05","하수도과","처리완료","백산면"
599,"도로 통행표시","전라북도 부안군 부안읍 선은리 674-1혜성병원 입구 불법현수막 게시*  *(1/1) C: 2017/11/15 23:24:34G:*","2018-05-17","2018-05-17","2018-05-18","교통행정과","처리완료","안덕원로"
600,"[생활불편신고]장애인 전용주차구역 불법주차","<불법주정차> 횡단보도 불법주차[  : 현대자동차앞 ] (1/2) I : 2018.03.13 21:49:11 (2/2) I : 2018.03.13 21:49:29 A :  : I :  .[  : 1522-0660 ()]","2018-05-10",,"2018-05-14","주민행복지원실","처리완료","하서면"
601,"야외에어로빅소음","익산역 지하를 관통하는 도로개설 공사를 시작한지 몇 년이 지난 것 같습니다. 그간 인근 송학동과 모현동 아파트 건설이 많았고, 그에 따른 주거 인구가 증가되어 출 퇴근 시간 교통 체증은 갈수록 심해지고 악화되고 있습니다.택지 조성과 주거 인구 증가에 대비한 도로 증설이 어렵다면, 기존 도로를 활용하지는 못할망정, 도로를 폐쇄하고 공사가 지지부진 몇 년동안 공사를 지연하는 시정을 이해할 수 없습니다. 예산 문제로 확장 도로 주변 건물 수용에 어려움이 있었을 예상할 수 있겠죠. 건물 수용에 시간이 필요했다면 지하도를 폐쇄하기 전, 먼저 건물 수용부터 한 다음 공사를 시작했다면하는 아쉬움이 큽니다.역 지하 굴다리 장기 폐쇄로, 중앙시장과 역 주변 상가로 모현, 송학동 유동인구를 장기간 막아, 상가가 활력을 잃게 되었고 , 모현, 송학동 교통체증이 아직도 현재 진행형입니다.송학, 모현 지구에 대규모 아파트 단지 증가와, 주거지와 근무지가 달라, 출근 시간에는 영등동 등 동쪽으로 이동하는 차량이 많고, 퇴근 시간에는 동쪽에서 모현지구로 유입되는 차량으로 도로 정체가 심합니다.07: 40 출근 시간에 모현 대교 근처와, 퇴근 시간에는 상공회의소와 모현대교 사이의 정체가 극심합니다. 특히 18:00 이후 1시간 정도는, 중간 교차로에서 신호체계가 무기력해지는 경우가 빈번합니다. 정체 원인은 모두 모현사거리 유관기관과 협조하여 신호 길이를 조정하여 어느 정도 해결될 것 같습니다. 익산시도 도로 정체가 심각해지는 만큼 ITS 체계 구축이 되어야 하지 않을까 합니다.시정에 대한 만족도 부족을, 선거에서 책임이 있다 생각되는 인물에게 투표하지 않았고, 그 인물은 낙선했기 때문에 조금 이나마 대가를 치르게 했다고 생각했습니다만 문제가 해결되는 것은 아니었습니다.지하도로가 언제 개통되는지 주변 주민들에게 정보 제공과, 홍보를 해주어야 하지 않을까 하며, 모현, 송학 지구내 아파트 미분양이 제법있다고 알고 있는데 미분양 주택에 입주까지 된다면 심각한 교통문제가 발생할 것입니다. 지금이라도 대책을 세우고 실행에 옮겨야 될것입니다.","2016-05-30","2016-05-30","2016-06-14","체육진흥과","처리완료","부안읍"
602,"(SPP-1804-2600373)전북 부안군 상서면 청림리 800번지에 위치한 미선나무","안녕하세요.군민에 안녕을 위하여 군정에 열정을 다하시는 군 관계자께 감사드립니다.저는 서울에 사는 최상재입니다.얼마 전 저는 저의 처가인 전라북도 부안군 분장2길41-1(장동리797-1)에 다녀왔습니다.저의 장모님은 참전용사인 장인어른을 병환으로 여위시고 당뇨 및 심장질환인 지병으로 힘겹게 위 주소지에서 홀로 살고 계십니다.그런데 제가 장모님 댁에 도착해 보니 며칠 전 조그만 비가 왔는데도 우·수로가 없어서 밭으로 흘러온 빗물이 집 뒤 밭을 넘쳐서 집으로 흘러들어 크나큰 걱정을 하고 계십니다.제가 보아도 이웃집 밭(장동리794 및 장동리823)에서 흘러온 빗물이 장동리 796(田)을 지나 집으로 흘러들고 또 집 앞에 있는 하수로 관으로 토사가 흘러들어 비가 올 때마다 하수 로에 토사 재거 작업을 해야 하는 피해를 보았습니다.또 여름철 장마가 시작되면 많은 비가 내릴 텐데, 그러면 지반이 약해지고 집 뒤 둑이 무너질 가능성이 매우 높고, 따라서 집이 파손되거나 소실될 가능성이 상당히 많을 것으로 판단됩니다.그래서 저는 홀로 사시는 노장모님의 근심을 덜어 드리고, 또 신체적인 안전을 위해서라도 부안군정의 일환으로 군민의 안전을 확보하고 군민숙원을 해결하는 차원에서 농업용 우·수로관 (일명 벤치플륨관)약43m를 설치해 주실 것을 간곡히 부탁드리며 부안군의 발전과 공무원분들의 안녕을 빌며, 좋은 소식이 있기를 기다리고 있겠습니다.","2018-04-26",,"2018-05-02","문화관광과","처리완료","부안읍"
603,"(유)에스엠산업 허가취소에 관한""""""""건""""""""","계획과 2017 3.15에 민원인이 귀청의 감사실로 공문이 해당부서로 전달되었을 것으로 간주하며 그에 답변 바랍니다.","2017-05-18",,"2017-05-25","푸른도시과","처리완료","번영로"
604,"길고양이를 위한  TNR","전 2년 전부터 길고양이들에게 밥을 주기 시작 했습니다.  아파트 주변 쓰레기장에서 아기 고양이를 데리고 어미고양이가 먹이 찾아 돌아다니는 모습이 안타까웠습니다. 그때부터 개인 주머니를 털어서 밥을 주기 시작 했는데 도중에 추운 겨울이면 죽은 아기 고양이들의 시체를 발견하기도 했습니다. 다음 세대가 이렇게 방치된 길고양이들을 보게 된다면 어떨지... 하는 마음으로 주변분들의 반감에도 계속 활동했습니다. 형편이 좋아 하는 일이 아닙니다. 어려운 환경이나 아이들을 교육했던 사람으로서 건강한 사랑을 실천하고 싶었습니다. 그러나 병든 고양이들을 볼때면 고가의 병원비가 먼저 걱정되는게 사실입니다.쥐를 잡아먹지 않는다는 마을 사람들의 반대도 만만치 않았고 길고양이들로 인해 온갖 더러운 세균을 걱정하시는 분들이 참으로 많았습니다. 그러나 그런 시선을 딛고 이웃 일본이나 대만등에서는 지속적인 중성화 수술과 생명살리는 운동을 계속해서 꾸준히 버려지는 동물들이 시민들과 함께 사는 마을로 변했습니다, 우리도 마찬가지로 계속 불어나는 생명에 대한 책임을 좀 힘있는 인간이 질서를 잡아 주었음 하는 맘으로 글을 썼습니다.작년까지만 해도 예산이 있어 TNR을 할 수 있었으나 소식을 몰랐던 캣맘들은 올 해 꼭 밥주던 녀석들이 중성 수술 시키도록 계속 기다리고 있었습니다. 허나 올해는 예산이 없다는 이유로 작은 예산마저 사라졌다는 병원측의 통보는 충격이 아닐 수 없었습니다.우리 익산에서 고양이들과 함께하는 마을로 모범을 보이면 어떨지 용기내어 말씀드립니다. 그것이 아니라면 적어도 중성화가 잘되어 길에 돌아다니는 고양이가 적어지도록 중성화 수술만큼은 담당해 주셨으면 합니다. 돌아다니는 고양이들을 위해 여행도 못가시는 캣맘들에게 부끄럽지도 않는지 물어보고 싶습니다. 다음 세대의 인성을 걱정하는 어른들이라면 작은 영혼을 살리는 모습을 보여 주어야 한다고 생각합니다. 부탁합니다.힘없는 약한 영혼들에게, 그들을 위해 헌신하는 분들을 위해 추운 겨울이 다가오기전 좋은 소식이 들려지길 바랍니다. ","2017-08-29","2017-08-29","2017-08-30","축산과","처리완료","변산면"
605,"자동차세 납부 고지서를 못받았습니다","<도로, 시설물 파손> 도로가 많이주저앉음 차가 지나갈때 충격받음 화물차들은 그대로 흡수받아서 날라버림or적재물건파손or차량에 무리감[  : 염소로~검안교차로방향 검안교차로표지판 밑바닥도로 ] (1/3) G : 2018.04.17 16:10:46 (2/3) G : 2018.04.17 16:11:10 (3/3) G : 2018.04.17 17:04:58 A :  : I :   [  : 1522-0660 ()]","2018-07-03",,"2018-07-10","재무과","처리완료","행안면"
606,"미륵산 연수원쪽 등산로 정비부탁드립니다","저는 익산시 여산면 육군부사관 학교앞 푸른마을아파트에 사는 세아이를 키우는 엄마입니다.저희 아파트 앞 도로로 채석장 트럭이 다니는데요.언제부턴가 새벽 3시부터 다니기 시작하는데 도로에 과속방치턱을 넘을때마다 천둥치는 소리가 울립니다.지금도 3분 5분 단위로 천둥소리가 나고있어요.도로공사하시면서 과속방지턱을 손봐주셨을땐 이정도는 아니었는데 무거운 돌을 저렇게나 많이 나르시니 과속방지턱이 파여 저렇게 천둥울리는 소리가 나네요..더위에 문을 열고 자면 새벽녁부터 저렇게 천둥소리를 내시며 다니시니 아이들도 자주깨고 웁니다.부사관학교에서 채석장방향 내리막길 과속방지턱좀 고쳐주세요..채석장에 새벽 두세시부터 차량운행하지 않도록 해주세요,","2017-07-06","2017-07-06","2017-07-10","산림과","처리완료","석정로"
607,"전북 전주시 버스노선 개선안에 대해","한옥마을 내 전통한옥 양식 비율 늘이기","2017-04-11",,,"기획예산과","처리완료","부안읍"
608,"이번 서동합창대회에 대해...","2년전에 올린 버스노선표는 아직도 계획에 없으신것 같아서 다시 올립니다.전주에서는 버스안내시스템이 되어있거나 각 정류장 마다 시간표는 물론 노선이 보기 쉽게 부착되어 있습니다.우리 익산시는 주요 버스노선만 그려놓고 나머지는 어디로 가는지 어떻게 가는지도 모르고 있어 버스를 제대로 타보지 못했습니다.버스안내시스템은 사업비가 없어 못한다고 하셨으니 버스노선표라도 자세히 만들어 주셨으면 합니다.","2016-05-29","2016-05-29","2016-06-01","문화관광과","처리완료","부안읍"
609,"[생활불편신고]불법 주차","수고하십니다.세종시에 거주하고 있는 사람입니다.이번 추석때 너무 멋진 곳이 있다길래 여행을 계획하고 있습니다.그곳이 위도인데요.예정은 9.30부터 일주일 정도 캠핑으로 가려고 생각하고 있는데요..캠핑할수 있는곳이 아무리 검색해도 나오지가 않아서요.위도 해수욕장이 캠핑하기 좋은데 화장실은 개방이 되어 있는데샤워장은 성수기를 제외하고는 개방이 되어 있지 않다고 들어서요..질문1. 위도해수욕장 샤워장은 언제까지 개방이 되나요?2. 위도에 캠핑할수 있는곳이 있나요? 있으면 장소좀 알려주시기 바랍니다. (화장실과 개수대만 있으면 됩니다.)3. 화장실과 개수대를 사용할수 있는곳이 있나요? 있으면 장소좀 알려주심 감사하겠습니다.그럼 좋은곳에서 뵈었음 좋겠습니다.감사합니다.","2017-09-23",,"2017-10-11","건설교통과","처리완료","부안읍"
610,"익산 유기 동물 보호소","555번 익산에서 봉동버스 노선 문의좀 드릴려구합니다.익산에서 보석박물관지나서 백제대학교다음제내리도 가는걸로 아는데..... 코스써있는 그대로 운행하시는지..2017년 백제대학교앞 봉동오투그란데 아파트 입주해서.. 버스가 555번타구 다녀야할상황이 있을찌모르겠어서..글올립니다.","2016-12-08","2016-12-08","2016-12-09","축산과","처리완료","부안읍"
611,,"안녕하세요 강진면 옥정호로 937-12번지에 살고 있는 김종구입니다.강진면 수방마을에 2017년도에 상수도가 설치되었는데 수방리 서쪽마을에는 현재 6가구가 살고있지만 상수도가 설치되지 않았습니다. 금년도에는 꼭 설치가되어 맑은물을 먹고싶습니다.그리고 수방마을에 설치된 상수도는 언제쯤 개통되나요?",,"전북 부안군 부안읍 당산로 91 (동중리, 부안군청) 안전총괄과?",,"2017-03-01",,"줄포면"
612,"은파호수 관리","저희 주택은 옥구 신어은길 50-15번지로 농로 옆에 위치해 있습니다.현재 농번기로 농로에 많은 중장비와 농기계 자동차 오토바이 자전거등 차량 이동이 많지만저희 집이 농로에 붙어있어 커브에서 나오는 차량이 보이지 않아 교통사고 및 인명피해가 우려 되는 사황입니다.또한 이 지역은 어르신들도 많고 저희 집에는 더군다나 """"""""유아 3명""""""""이 있어 농기계가 오는지 모르고 뛰어나갔다자칫 사고로 이어질 소지가 다분한 상황입니다.반사경을 설치하는 것이 사고를 미연에 막을수 있고 그 효과를 충분히 발휘 할수 있다고 사료 되오니 반사경 설치를  적극 부탁드립니다.2. 또한 기온 상승으로 이 지역은 모기유충이 부화하여 저녁 5시만 되도 모기가 활동하고 개체수도 작년에 비해 증가한듯 합니다. 방역부탁드리며,차후 부턴 모기 유충 및 깔따구 등 유충부터 박멸하여 각종 병해충이 성충이 될수 없도록 방제 활동을 앞당겨 실시해주시기를 부탁드립니다.","2018-05-20","2018-05-20","2018-05-25","관광진흥과","처리완료","부안읍"
613,"(SPP-1804-2600717)쓰레기 치워주세요 * 첨부파일촬영시간 안내(안전신문고","전라북도 부안군 상서면 청림리 818전북 부안군 상서면 청림리 800번지에 위치한 미선나무 자생군락지(천연기념물) 자연학습 장소 견학을 위해 설치한 목재계단이 파손되어 몇년째 방치되고 있어 매우 위험합니다. 특히, 입구계단이기 때문에 많은 사람들의 통행이 있으므로 빨리 복구되어야 할 것으로 판단됩니다.*  *(1/3) G: 2018/04/16 17:08:07(2/3) G: 2018/04/16 17:08:16(3/3) G: 2018/04/16 17:08:35G:  * ","2018-04-26",,"2018-05-09","친환경축산과","처리완료","부안읍"
614,"무단투기신고","영등동 256-122 영진원룸 앞 쓰레기 버리는 장소가 아님에도 불구하고 불법으로 쓰레기를  종량제를 사용하지 않고 투기 하여 민원을 넣었으나 치워주기는 커녕 맞은편 전봇대 앞에 버려야 한다고만 딸랑 말만 하면 불법투기가 사라집니까?  맞은편 전봇대가 쓰레기 수거장소인지 자체를 모르는 사람이 많은데 쓰레기 버리는 장소임을 알 수 있는 표시판을 해 놓던지 해야 알지 않겠나요?? 그리고 종량제 봉투 사용하지 않은 사람들은 증거를 찾아서 벌금을 물려야 불법 투기를 하지 않나요?  불법투기된 쓰레기를 다 치웠습니다만 여전히 몇몇은 불법으로 버리더군요 도대체 시민이 어디까지 참고 계속 불법 쓰레기를 참고 치워야 합니까???  관리가 안되면 cctv를 설치하세요!!! 첨부된 사진은 불법 투기 쓰레기에서 찾은 영수증입니다 이렇게까지 올리는데  이 사람 찾아서 벌금  부여하시고 포상금 지급하세요 해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-05-11","2016-05-11","2016-05-18","청소자원과","처리완료","변산면"
615,"통매산 관리를 이대로 갈 것인가요.-재 게재","안녕하세요. 군산 사정동 금호아파트 주경기장 (공설운동장) 에서 기업 행사를 많이하는데 행사를 다하고 쓰레기를 아무곳이나 투기해서 그앞에있는 아파트를 쓰는 사람들도 너무 피해를봅니다 행사가 다끝나면 주차장같은곳에 쓰레기버리지않게 해주시고 정리 해주라고 그행사하는 분들께 미리 통지를 해주셨음 좋겠습니다","2018-04-10","2018-04-10","2018-04-19","직소민원팀","처리완료","부안읍"
616,"철제물이 깨져있습니다.","전라북도 부안군 부안읍 서외리 97-4부안군 자원봉사센터 앞 트렌치가 불량하여 사고날 위험이 있습니다*  *(1/1) G: 2018/03/15 15:19:10G:  *","2018-03-23",,"2018-04-02","건설교통과","처리완료","진서면"
617,"정육점 고기중량 포장지 포함","이거 항의 입니다. 어제 저녁부터 갑자기 업무연락이라고 어린이집 차량 운행을 뮷하게 하는데... 워킹맘들은 어쩌라고 이러는건지... 완전 탁상행정이네요. 어린이집 차량만 사고 위험 있나요?? 부모들이 운전하면 사고 안나고 어린이집 차량만 사고 위험 있는 건가요?? 눈와서 가뜩이나 집에서 일찍 나가서 출근해야는데 어린이집 차량운행까지 막으면 일하는 부모들은 도대체 어쩌라고 이런 업무지침 내리는 겁니까??","2017-05-27","2017-05-27","2017-05-31","축산과","처리완료","주산면"
618,"여성전용버스","<장애인 전용주차구역 불법주차> 장애인도 아니 면서 주차함 (1/1) A : 2018.08.10 10:17:24 A :  : I :  .[  : 1522-0660 ()]","2017-02-09",,,"기획예산과","처리완료","줄포면"
619,"나랏돈을","익산 유기동물 보호소라는 곳에서 동물을 다루는 사진을 보고 아침부터 너무 놀라 인증하고 글까지 남깁니다.동물보호소라는 이름을 걸고 활동하고 있으면 최소한의 동물을 존중하는 마음은 보여야하지 않습니까오히려 학대에 가까운 태도로 동물을 대하는 곳이 어찌 보호소가 될 수 있나요유기견들은 잘 찍은 사진 한장에 생사가 결정됩니다. 그저 실적올리기에 급급해서 저런 마구잡이식으로 유기동물을 대하다니 정말 너무 화가 납니다.실태 파악하셔서 꼭!시정 조치 바랍니다!!!!","2016-11-09","2016-11-09","2016-11-10","축산과","처리완료","부안읍"
620,"쓰레기불법투기","구 모현동 주민센터 신축부지에 있는 주차장 사진 첨부합니다밤샘주차 단속해주십사 계속 민원을 넣어도 신경조차 쓰지 않는군요새벽 일직부터 트럭 예열하고 부름 부릉하고해서 잠에서 일직 깨어나게 해주셔서 감사합니다시민의 말을 들어주지않고 무시하는 익산시 행정 정말 지겹군요다른 시에서는 이런 민원은 철저하게 처리해주는데 익산시는 과연 그렇지는 않네요그리고  익산시에서는  건축계획이 없으면 시민의 세금으로 매입한 부지를 방치하고 주변사람들에게 고통만 줄게아니라다른 활용이나 매각을 통해서 세금만 축내지말고 시민에게 다시 돌려주어야  맞지않을까요?몇몇이 터를잡고 밭을 만들고 마치 사유지처럼 가건물을 짖고 냄새나는 똥거름치고 불지르고 ...생각만해도 웃지못할 광경이죠?답변부탁합니다","2017-11-01","2017-11-01","2017-11-03","청소자원과","처리완료","하서면"
621,"금연장소에서 흡연자 조치!!","영등동 838-2번지 뒷편에 공용화장실이 있습니다.거기는 상가사람들 혹은 손님들도 사용합니다. 신포우리만두 조리실에서 일하는 곱슬머리 아주머니 계시는데 그 흡연금지인 여자칸 화장실에서 담배를 핍니다.참는것도 한계가 있습니다. 갈때마다 마주치고 담배냄새가 몸에 베어 힘듭니다.신포우리만두 사장님께 말씀드려 담배를 피지 말라고 아무리 말을 해도 그 아주머니는 말을 안듣고 담배를 핀다는겁니다. 신포사장님이 벌금을 내도 그 아주머니 계속 담배를 필겁니다.그 아주머니께 직접 벌금을 물어주세요, 그래야 담배를 화장실 안에서 담배를 안필껍니다.빨리 조치 취해주세요. 진짜 그 아주머니때문에 화장실도 맘대로 못가고 ,그 아주머니가 담배를 피고 나오고 환기를 여러번 시킨후에 화장실을 이용하는것도 힘듭니다.그 아주머니께 직접 벌금 물게 해주세요!!!","2016-05-09","2016-05-09","2016-05-10","보건사업과","처리완료","계화면"
622,"전북익산 유기동물 보호소의 동물학대행위 처벌 촉구합니다","이게 학대지 어떻게 구조고 보호입니까?당장 무슨 조취를 해주세요","2016-11-09","2016-11-09","2016-11-10","축산과","처리완료","부안읍"
623,"시내버스불친절","나이가 들어 치아가 좋지 않아 치료를 위해 두번 치과 병원에 가서 주차 할 곳이 없어 도로에 잠간 주차를 한후 치료를 받고 나왔는데 두번 갔는데 주차위반 딱지가 두번 날아 왔는데 너무 단속이 심하지 않나 생각 합니다 벌칙금이 커서 그런 것이 아니라 아무리 시에 돈이 없다고 할지라도 시민이 생활 하는데 불편을 주어서는 안되지요 시장님에게 묻고 싶네요 모현동에 집만 몽땅 지어놓고 세금 걷어 들이고 주차 해 놓을 수 있는 곳은 별로 만들어 놓지 않고 주차금지구역만 많이 만들어 놓고 딱지만 떼면 되는 건지 ,"2017-05-17","2017-05-17","2017-05-19","교통행정과","처리완료","부안읍"
624,"갈산교차로 불법광고물 철거요청","분기점 722 / 갈산교차로 황등/삼기 방면으로 좌회전시 불법광고물로 인하여 시야 확보 안되어자칫사고유려가 있으니 철거 조치바랍니다","2017-03-23","2017-03-23","2017-03-24","도로공원과","처리완료","변산면"
